,base_x,base_y,base_z,base_phi,base_theta,base_psi,bodyF_phi,bodyF_theta,bodyF_psi,neck_phi,neck_theta,neck_psi,tail0_theta,tail0_psi,tail1_theta,tail1_psi,ufl_theta,lfl_theta,hfl_theta,ufr_theta,lfr_theta,hfr_theta,ubl_theta,lbl_theta,ubr_theta,lbr_theta,hbl_theta,hbr_theta,dbase_x,dbase_y,dbase_z,dbase_phi,dbase_theta,dbase_psi,dbodyF_phi,dbodyF_theta,dbodyF_psi,dneck_phi,dneck_theta,dneck_psi,dtail0_theta,dtail0_psi,dtail1_theta,dtail1_psi,dufl_theta,dlfl_theta,dhfl_theta,dufr_theta,dlfr_theta,dhfr_theta,dubl_theta,dlbl_theta,dubr_theta,dlbr_theta,dhbl_theta,dhbr_theta
7,2.377140996301489,6.567474350558972,0.5452549434585998,0.06986349065928656,0.2431191489788851,2.8299537261448,0.01206868105491335,-0.4741557582941188,0.012888618907203053,0.058565136879335164,0.050401308527073946,-0.27130151707737316,-0.6891228178646581,0.10333278307216487,0.5164788620604488,-0.08404455686316314,0.7805462531230402,-0.6642450246090286,0.9056423043887056,0.7785333322356257,-0.35932635901436827,0.08307777561547225,-1.0168468522467264,1.784194216391259,-1.2309839960807814,2.1624886407416914,-1.863833939487637,-1.784890585519457,11.442176025876421,-2.3792817135377913,-0.41509772319939897,-0.13394619803717134,1.7541971806387562,-0.19770790165505972,1.345699632782361,-2.118017367080577,4.996944382056825,1.413696960764713,3.033337304978237,-6.686101661713875,3.0729726575634713,4.4204218446989145,1.0919428262154345,-0.3509581698570363,-1.3125135248153565,27.11028518757761,-12.146145307926814,8.312957605411276,-19.490595510632087,19.087530292086612,-9.247027198665654,-29.39878403794976,-7.376680416971417,-25.178809318063323,20.936690904443722,11.477224811748282
8,2.4733616071208275,6.547917026307407,0.5416694408609093,0.0699884506092604,0.2519425751257282,2.8336665151129212,0.021719824043145403,-0.48199273784232044,0.04628695408608108,0.06850488768341859,0.06954011890955045,-0.3259339996787549,-0.6579378802281954,0.14952775923880335,0.5187100130443021,-0.085069102631389,0.7404681365888257,-0.4501214272838766,0.8147132266540048,0.8633811191147718,-0.5679005318185413,0.25587124155554986,-1.0647660159159307,1.535616378183827,-1.2503242971958983,1.9140518550540566,-1.6605885297627023,-1.6574942931045322,11.546473298320576,-2.346878910187781,-0.43026031172286816,0.01499519399686196,1.058811137621172,0.4455346761745307,1.1581371585878453,-0.9404375457841909,4.007800221465345,1.1927700964900112,2.2966572458971797,-6.555897912165783,3.7421925163755185,5.543397139996589,0.26773811806238923,-0.1229454921870552,-4.8093739841057355,25.694831679018247,-10.911489328164098,10.181734425497556,-25.02890073650079,20.735215912809327,-5.750299640304526,-29.829340584891817,-2.3208361338140566,-29.812414282516155,24.389449166992172,15.287555089790981
9,2.5702513672790945,6.528246260060422,0.5379320389194588,0.07318072141654099,0.25480624169825367,2.8433271191882095,0.02849457686638622,-0.48046793625199724,0.06936498352504472,0.07559343296577126,0.08229282423786094,-0.37669754349076623,-0.621690390728554,0.2042638936247192,0.5123054728141159,-0.08339899365436532,0.7006799019574175,-0.28667497539627307,0.7493050310768116,0.9480818956964485,-0.8042287669577574,0.44640004322943727,-1.0782430016971263,1.330848974409166,-1.243157408316528,1.665904447744693,-1.4866093726216307,-1.5198273052016122,11.626771218992076,-2.3604919496380865,-0.44848823297405044,0.3830724968736711,0.3436399887030538,1.159272489034623,0.8129703387888982,0.18297619083878947,2.7693635326756065,0.8506254338823183,1.5303246393972594,-6.091625257441372,4.349698739956968,6.568336126309962,-0.768544827622347,0.20041307724279545,-4.774588155768992,19.613574226512412,-7.848983469263183,10.164093189801193,-28.35938821670592,22.863456200866484,-1.6172382937434646,-24.572088452959303,0.8600266655244514,-29.77768887712365,20.877498856928558,16.520038548350396
10,2.6677155278313336,6.508178729522643,0.5340862349157331,0.08063170401404249,0.2517303356803683,2.859495065346103,0.031521291663014,-0.46862099502399535,0.0808600870237326,0.07868809300101547,0.08707437683982419,-0.42166983471164476,-0.5818929782159334,0.2664199458936021,0.4950577263847887,-0.07852409153391315,0.6907126588111522,-0.20867415740635076,0.7220278366558632,1.0208949592829404,-1.0513177216433063,0.6563850276442724,-1.0634795503726222,1.2192954954803599,-1.2277023078515383,1.4570729819494983,-1.396803908822917,-1.3957333860807384,11.695699266268678,-2.4081036645335367,-0.46149648044707875,0.8941179117001798,-0.36910872214624274,1.94015353894722,0.36320577559533307,1.421632947360221,1.3794124198425843,0.371359204229305,0.5737863122355886,-5.396674946505444,4.775689501514474,7.458726272265911,-2.069729571519253,0.5849882544542995,-1.1960691775518382,9.360098158790683,-3.2732633305137977,8.737567630379033,-29.65067456226587,25.198198129780227,1.7716141589404881,-13.386417471456733,1.8546120557987689,-25.05977589542333,10.776655655845664,14.89127029450485
11,2.765761664582554,6.487571263795096,0.5302215849824582,0.0926066116521544,0.24293354024478833,2.8824816740956316,0.03048149265354501,-0.4450041550148226,0.08030280293658043,0.07663450795850757,0.08190618246214124,-0.4596172206309461,-0.5407648074928487,0.33450799459875613,0.4647299803816545,-0.07024778341606108,0.7302476399514082,-0.23867070539341262,0.7426024968579998,1.075377845855531,-1.2938997305424529,0.8802755528368974,-1.0268224002286606,1.2262176581638813,-1.213536618753553,1.3139561970404567,-1.4225126358722118,-1.308576401819399,11.765536410146428,-2.472895887305634,-0.4637579919929937,1.43698891657343,-1.055615452269594,2.7583930499434337,-0.12477588113627913,2.8340208011007335,-0.06687409045825898,-0.24643020510094682,-0.6201833253219526,-4.553686310316182,4.9353804867701765,8.170565844618476,-3.639329520376112,0.9931569741422557,4.744197736830732,-3.5995857584474233,2.468959224256385,6.537946388710856,-29.109841067897584,26.86686302311498,4.398858017275413,0.8306595220225486,1.699882691758239,-17.174014189085003,-3.0850472459153693,10.458838111360722
12,2.8644665464554957,6.4664254233563145,0.5264215412787445,0.10824923008540663,0.2287986957319328,2.912094059190107,0.025671429612300595,-0.4093811579333736,0.06777601186996618,0.06903715247670142,0.06605737808783142,-0.4895453384010664,-0.5002264170263608,0.40650957287107614,0.4213056170572391,-0.05865782467533309,0.8221911764578197,-0.3809802233615811,0.8160508079169728,1.1041236982779248,-1.5142624177088302,1.1033925996180978,-0.9674813894038414,1.339921428903048,-1.196542562296468,1.2443341532978223,-1.5579095680950439,-1.2775111285495977,11.844585824753018,-2.537500852653805,-0.4560052444456424,1.8771142119902664,-1.6961813415426674,3.5534862113370695,-0.5772075649493302,4.274759649773879,-1.5032149279937217,-0.9116826578167351,-1.9018565249171764,-3.5913741324144057,4.864606855978541,8.640189392678442,-5.210923598929838,1.390795048887333,11.033224380769362,-17.077142156180205,8.813797327076752,3.4495022906872657,-26.44352245996528,26.77404561374406,7.120921298978285,13.64445248870002,2.0392867748501926,-8.354645249116151,-16.24763186673985,3.727832792376191
13,2.9639369016584345,6.44486705527108,0.5227521549976776,0.12574952996281594,0.20986512413559047,2.947348740458896,0.018011239796859896,-0.36281460739415045,0.04402597237042727,0.0564913224709718,0.040066339249648295,-0.5105528975228948,-0.4615584095731946,0.4796652487005102,0.3676649673168385,-0.04412987094890841,0.9505346676565648,-0.6184548588912575,0.9410483688418165,1.103861745895683,-1.6977496624094728,1.3040573858748914,-0.8739999137525458,1.5103313700549794,-1.160322680504115,1.237584564057733,-1.7634496172577114,-1.3129076742727088,11.936442624352644,-2.587004170228219,-0.4403263537280355,2.100035985289117,-2.2720285915610763,4.230561752254597,-0.9192227778528819,5.587986064706776,-2.850004739944613,-1.5054996006875583,-3.1189246605819756,-2.520907094619412,4.64016089437995,8.778681099532035,-6.436877968848072,1.7433544471709759,15.401218943849434,-28.4969562635612,14.999707310981258,-0.03143428586901553,-22.0184693640771,24.07977435081521,11.217777078155471,20.449192938231775,4.3463858150823675,-0.8099507088106943,-24.664805899520115,-4.247585486773341
14,3.064282965262874,6.423105746775119,0.5192936244804317,0.1427348242057554,0.18682085826093348,2.986365955218826,0.008908474816250594,-0.30728133807461877,0.010676127185552442,0.04040371720999472,0.005331064218321704,-0.5219390096003491,-0.42535275431029523,0.5504059847781582,0.3093293796163841,-0.027402022850532948,1.0850517229831207,-0.9148914034975995,1.1079968136795835,1.0759364317725577,-1.833698369429956,1.4581540696902058,-0.7370931772182241,1.6669421064798846,-1.0887833666377642,1.275781412638465,-1.9728105032247893,-1.4127212798656483,12.041527632532727,-2.611357019515254,-0.4150236620695003,2.0382353091527348,-2.765311904958842,4.682065771191653,-1.092331797673118,6.663992318343805,-4.001981422185058,-1.9305126313172478,-4.168233003759192,-1.366333449294523,4.3446786315479144,8.488888329317794,-7.00027052405452,2.007341771805062,16.142046639186688,-35.57238535276102,20.03381338053202,-3.3510376947750506,-16.313844842457982,18.49160205783774,16.42880838411861,18.793288370988606,8.584717663962092,4.583621829687843,-25.12330631604935,-11.977632671152744
15,3.1655982698949616,6.401392347400993,0.5161428885331111,0.15671566037142406,0.16047615083072947,3.0266674139347973,-2.8371789590475593e-05,-0.24561273390310379,-0.02980933569845856,0.022793431400612935,-0.036006699562615915,-0.523433207744044,-0.39222171371539444,0.6145892656509591,0.2525218775271273,-0.009714909714283237,1.1909506416109346,-1.2240400255550279,1.2992544458427604,1.0225854858941879,-1.916930282341614,1.5468130052885112,-0.559393193568436,1.7468559914758643,-0.9771124553893504,1.3427600720104518,-2.114576840497004,-1.5619245720199122,12.157836555850553,-2.6056079248951187,-0.3780883136784853,1.6777003398802406,-3.1613648916244808,4.836175045916547,-1.0724215927009275,7.4002325005818,-4.858255546081272,-2.113234297125816,-4.960531653712515,-0.1793037772433761,3.9757248713880955,7.701993704736097,-6.816900250710823,2.1224535763499346,12.707870235337666,-37.09783464689142,22.95091585958125,-6.402113505404362,-9.987829549398954,10.639072271796662,21.32399803797456,9.589666199517588,13.400509349809653,8.037439124638407,-17.011960472665766,-17.90439505851168
16,3.2679332880168235,6.379995365712441,0.5134150539856799,0.1655218983844952,0.1317393134404222,3.065560840297803,-0.007328073210351699,-0.18102299809897437,-0.07439079829565154,0.00579342587443768,-0.08149330310266303,-0.5152614154861181,-0.3627402702772371,0.6680278556197425,0.20220390236747365,0.007379485933336927,1.2434075492814647,-1.503075940736991,1.48940383029145,0.9447950817115736,-1.94796515908858,1.561181590888643,-0.35882013412283076,1.7229278575321945,-0.8282135989395037,1.4196022509617974,-2.140037255469676,-1.7338260845323807,12.2802021746234,-2.567637802626297,-0.32734014569174,1.0567485615685348,-3.4484204868368717,4.66721116356067,-0.8759641704913474,7.750768296495528,-5.349775511663182,-2.0400006631410275,-5.458392424805655,0.980615070951103,3.537773212578883,6.412630796254009,-6.0381570191584375,2.051327477714427,6.294828920463632,-33.484309821835566,22.817926133842768,-9.334848501913726,-3.7241852096359445,1.7242302720158147,24.068767133472633,-2.8713760732403806,17.867862773981592,9.221061474161463,-3.0552497967206307,-20.628181501496243
